;amo muchacho trabajo;amor amar sentir;amor vida ángel;blanco color vestir;bueno casa amigo;caballo momento echar;calle niño amigo;capitán caballo vida;claro santo altar;claro tomar pasar;cura pueblo niño;dinero papel nombre;doctor alma libro;grande bueno mundo;griego sultán lleno;jefe político plaza;jefe secretario regidor;juez coronel reo;leer libro carta;luz cielo sol;madre padre familia;muerte pobre mismo;padre anciano amigo;pasar grande voz;pastor pueblo casa;querer bueno casa;querer padre llorar;recibir medio noche;secreto inquisidor tribunal;sor hermano mirar
mx0030_Altamirano_NavidadMontanas022;0.0044354839;0.1899193548;0.072983871;0.0004032258;0.0004032258;0.0004032258;0.0004032258;0.0004032258;0.0326612903;0.0004032258;0.2100806452;0.0004032258;0.0004032258;0.0326612903;0.0004032258;0.0004032258;0.0125;0.0084677419;0.0004032258;0.0004032258;0.0004032258;0.0205645161;0.0004032258;0.1294354839;0.060887096800000005;0.077016129;0.08911290320000001;0.0528225806;0.0004032258;0.0004032258
mx0030_Altamirano_NavidadMontanas021;0.00043478260000000003;0.07869565220000001;0.00043478260000000003;0.017826087;0.00043478260000000003;0.00043478260000000003;0.00043478260000000003;0.0047826087000000005;0.00043478260000000003;0.00043478260000000003;0.17434782610000002;0.00043478260000000003;0.00043478260000000003;0.00043478260000000003;0.00043478260000000003;0.00043478260000000003;0.0091304348;0.00043478260000000003;0.00043478260000000003;0.00043478260000000003;0.00043478260000000003;0.0439130435;0.00043478260000000003;0.2613043478;0.0047826087000000005;0.222173913;0.15695652170000002;0.0134782609;0.0047826087000000005;0.00043478260000000003
mx0030_Altamirano_NavidadMontanas020;0.00042016810000000004;0.231512605;0.00042016810000000004;0.00042016810000000004;0.00042016810000000004;0.00042016810000000004;0.00042016810000000004;0.017226890800000002;0.00042016810000000004;0.00042016810000000004;0.13487394960000001;0.00042016810000000004;0.00042016810000000004;0.00042016810000000004;0.00042016810000000004;0.00042016810000000004;0.00042016810000000004;0.00042016810000000004;0.0130252101;0.00042016810000000004;0.00042016810000000004;0.0802521008;0.00042016810000000004;0.0466386555;0.0130252101;0.3197478992;0.08865546220000001;0.0466386555;0.00042016810000000004;0.00042016810000000004
mx0030_Altamirano_NavidadMontanas019;0.00038314180000000004;0.069348659;0.00038314180000000004;0.0157088123;0.00038314180000000004;0.008045977000000001;0.00038314180000000004;0.00038314180000000004;0.00038314180000000004;0.00038314180000000004;0.24559386970000002;0.00038314180000000004;0.0042145594;0.09233716480000001;0.0042145594;0.00038314180000000004;0.008045977000000001;0.0272030651;0.00038314180000000004;0.00038314180000000004;0.00038314180000000004;0.00038314180000000004;0.0425287356;0.1268199234;0.1727969349;0.1727969349;0.00038314180000000004;0.0042145594;0.00038314180000000004;0.00038314180000000004
mx0030_Altamirano_NavidadMontanas018;0.0004098361;0.1356557377;0.0004098361;0.0004098361;0.0004098361;0.0004098361;0.004508196700000001;0.0004098361;0.0004098361;0.008606557400000001;0.275;0.0004098361;0.0004098361;0.025;0.0004098361;0.0004098361;0.0004098361;0.0946721311;0.0004098361;0.0004098361;0.008606557400000001;0.0454918033;0.0004098361;0.1479508197;0.0004098361;0.18483606560000002;0.0004098361;0.061885245900000004;0.0004098361;0.0004098361
mx0030_Altamirano_NavidadMontanas017;0.0004291845;0.0433476395;0.0004291845;0.0347639485;0.0347639485;0.0004291845;0.0004291845;0.0004291845;0.0004291845;0.0004291845;0.31802575110000003;0.0004291845;0.0004291845;0.030472103;0.0004291845;0.0004291845;0.0004291845;0.0004291845;0.0004291845;0.0004291845;0.0004291845;0.047639485;0.00472103;0.1248927039;0.0004291845;0.33090128760000004;0.0175965665;0.0004291845;0.00472103;0.0004291845
mx0030_Altamirano_NavidadMontanas016;0.00034129690000000003;0.109556314;0.031058020500000002;0.1914675768;0.00034129690000000003;0.00034129690000000003;0.0037542662;0.00034129690000000003;0.00034129690000000003;0.00034129690000000003;0.27337883960000003;0.00034129690000000003;0.00034129690000000003;0.133447099;0.00034129690000000003;0.00034129690000000003;0.00034129690000000003;0.00034129690000000003;0.00034129690000000003;0.00034129690000000003;0.0174061433;0.0959044369;0.020819112600000002;0.0651877133;0.00034129690000000003;0.00034129690000000003;0.00034129690000000003;0.0276450512;0.0242320819;0.00034129690000000003
mx0030_Altamirano_NavidadMontanas015;0.0003802281;0.0688212928;0.019391635;0.0536121673;0.0003802281;0.0117870722;0.0003802281;0.026996197700000002;0.0003802281;0.0003802281;0.21330798480000002;0.0003802281;0.0003802281;0.0498098859;0.0041825095;0.0041825095;0.0003802281;0.0003802281;0.0079847909;0.0079847909;0.0003802281;0.08783269960000001;0.0003802281;0.2323193916;0.0003802281;0.023193916300000002;0.0688212928;0.08783269960000001;0.015589353600000001;0.0117870722
mx0030_Altamirano_NavidadMontanas014;0.0003663004;0.08461538460000001;0.004029304;0.0223443223;0.0003663004;0.0003663004;0.0003663004;0.0003663004;0.0003663004;0.0003663004;0.2494505495;0.0003663004;0.0003663004;0.1688644689;0.0003663004;0.0003663004;0.06996337;0.0003663004;0.004029304;0.0003663004;0.0003663004;0.047985348000000004;0.026007326;0.1358974359;0.0003663004;0.1322344322;0.0003663004;0.047985348000000004;0.0003663004;0.0003663004
mx0030_Altamirano_NavidadMontanas013;0.00030581040000000003;0.0064220183;0.0400611621;0.0767584098;0.0064220183;0.00030581040000000003;0.00030581040000000003;0.0278287462;0.0737003058;0.00030581040000000003;0.29694189600000004;0.00030581040000000003;0.00030581040000000003;0.0339449541;0.009480122300000001;0.00030581040000000003;0.00030581040000000003;0.00030581040000000003;0.0155963303;0.0675840979;0.00030581040000000003;0.00030581040000000003;0.00030581040000000003;0.2021406728;0.1379204893;0.00030581040000000003;0.00030581040000000003;0.00030581040000000003;0.00030581040000000003;0.00030581040000000003
mx0030_Altamirano_NavidadMontanas012;0.0003460208;0.0003460208;0.0003460208;0.041868512100000005;0.0003460208;0.014186851200000001;0.0003460208;0.0003460208;0.2114186851;0.0038062284;0.301384083;0.0003460208;0.0003460208;0.15951557090000001;0.0107266436;0.0107266436;0.0003460208;0.0038062284;0.0038062284;0.0107266436;0.0003460208;0.0314878893;0.0003460208;0.07647058820000001;0.10415224910000001;0.0003460208;0.0003460208;0.0003460208;0.0107266436;0.0003460208
mx0030_Altamirano_NavidadMontanas011;0.00038314180000000004;0.0885057471;0.00038314180000000004;0.00038314180000000004;0.00038314180000000004;0.00038314180000000004;0.00038314180000000004;0.00038314180000000004;0.1153256705;0.00038314180000000004;0.2417624521;0.00038314180000000004;0.00038314180000000004;0.161302682;0.00038314180000000004;0.00038314180000000004;0.0195402299;0.00038314180000000004;0.00038314180000000004;0.0042145594;0.00038314180000000004;0.00038314180000000004;0.00038314180000000004;0.1344827586;0.061685823800000004;0.0540229885;0.023371647500000002;0.0885057471;0.00038314180000000004;0.00038314180000000004
mx0030_Altamirano_NavidadMontanas010;0.0177083333;0.0003472222;0.048958333300000004;0.090625;0.042013888900000004;0.0003472222;0.0038194444;0.0003472222;0.0003472222;0.0072916667;0.2850694444;0.0003472222;0.0038194444;0.0003472222;0.0003472222;0.045486111100000004;0.0003472222;0.0003472222;0.0003472222;0.0142361111;0.0072916667;0.045486111100000004;0.0003472222;0.1913194444;0.14270833330000002;0.042013888900000004;0.0038194444;0.0003472222;0.0003472222;0.0038194444
mx0030_Altamirano_NavidadMontanas009;0.007526881700000001;0.1724014337;0.046953405000000004;0.0899641577;0.0003584229;0.0003584229;0.0003584229;0.0003584229;0.007526881700000001;0.0003584229;0.2870967742;0.0003584229;0.0003584229;0.0899641577;0.0003584229;0.0003584229;0.007526881700000001;0.007526881700000001;0.0003584229;0.0003584229;0.0003584229;0.0003584229;0.0003584229;0.1329749104;0.0003584229;0.1401433692;0.0003584229;0.0003584229;0.0003584229;0.0039426523
mx0030_Altamirano_NavidadMontanas008;0.00039682540000000004;0.1115079365;0.00039682540000000004;0.0123015873;0.0043650794;0.00039682540000000004;0.00039682540000000004;0.0083333333;0.0083333333;0.00039682540000000004;0.4369047619;0.00039682540000000004;0.00039682540000000004;0.0797619048;0.00039682540000000004;0.00039682540000000004;0.00039682540000000004;0.00039682540000000004;0.00039682540000000004;0.00039682540000000004;0.00039682540000000004;0.0043650794;0.0123015873;0.1035714286;0.0162698413;0.1948412698;0.00039682540000000004;0.00039682540000000004;0.00039682540000000004;0.00039682540000000004
mx0030_Altamirano_NavidadMontanas007;0.0165322581;0.0568548387;0.0044354839;0.0125;0.0004032258;0.0044354839;0.0004032258;0.0125;0.0004032258;0.0004032258;0.1858870968;0.0044354839;0.0004032258;0.2705645161;0.0004032258;0.0004032258;0.0004032258;0.0044354839;0.0004032258;0.0004032258;0.0004032258;0.0568548387;0.0004032258;0.0326612903;0.1092741935;0.1778225806;0.0004032258;0.0447580645;0.0004032258;0.0004032258
mx0030_Altamirano_NavidadMontanas006;0.00033898310000000004;0.0884745763;0.0172881356;0.0444067797;0.00033898310000000004;0.0206779661;0.00033898310000000004;0.0071186441;0.00033898310000000004;0.00033898310000000004;0.2681355932;0.00033898310000000004;0.00033898310000000004;0.11559322030000001;0.00033898310000000004;0.00033898310000000004;0.013898305100000001;0.00033898310000000004;0.00033898310000000004;0.0410169492;0.00033898310000000004;0.00033898310000000004;0.00033898310000000004;0.0749152542;0.2274576271;0.0342372881;0.00033898310000000004;0.0410169492;0.00033898310000000004;0.00033898310000000004
mx0030_Altamirano_NavidadMontanas005;0.0004032258;0.2342741935;0.0004032258;0.0004032258;0.0004032258;0.0165322581;0.0004032258;0.0125;0.0004032258;0.0004032258;0.3592741935;0.0004032258;0.0004032258;0.197983871;0.0044354839;0.0004032258;0.0004032258;0.0004032258;0.0004032258;0.0004032258;0.0004032258;0.0407258065;0.0044354839;0.077016129;0.0004032258;0.0004032258;0.0326612903;0.0004032258;0.0125;0.0004032258
mx0030_Altamirano_NavidadMontanas004;0.00041152260000000004;0.1526748971;0.00041152260000000004;0.00041152260000000004;0.00041152260000000004;0.00041152260000000004;0.00041152260000000004;0.004526749;0.0127572016;0.00041152260000000004;0.37078189300000003;0.00041152260000000004;0.00041152260000000004;0.12798353910000002;0.00041152260000000004;0.00041152260000000004;0.00041152260000000004;0.00041152260000000004;0.00041152260000000004;0.00041152260000000004;0.004526749;0.12798353910000002;0.00041152260000000004;0.00041152260000000004;0.00041152260000000004;0.1197530864;0.00041152260000000004;0.066255144;0.00041152260000000004;0.004526749
