;Word 0;Word 1;Word 2;Word 3;Word 4;Word 5;Word 6;Word 7;Word 8;Word 9;Word 10;Word 11;Word 12;Word 13;Word 14;Word 15;Word 16;Word 17;Word 18;Word 19;Word 20;Word 21;Word 22;Word 23;Word 24;Word 25;Word 26;Word 27;Word 28;Word 29;Word 30;Word 31;Word 32;Word 33;Word 34;Word 35;Word 36;Word 37;Word 38;Word 39;Word 40;Word 41;Word 42;Word 43;Word 44;Word 45;Word 46;Word 47;Word 48;Word 49;Word 50;Word 51;Word 52;Word 53;Word 54;Word 55;Word 56;Word 57;Word 58;Word 59;Word 60;Word 61;Word 62;Word 63;Word 64;Word 65;Word 66;Word 67;Word 68;Word 69;Word 70;Word 71;Word 72;Word 73;Word 74;Word 75;Word 76;Word 77;Word 78;Word 79;Word 80;Word 81;Word 82;Word 83;Word 84;Word 85;Word 86;Word 87;Word 88;Word 89;Word 90;Word 91;Word 92;Word 93;Word 94;Word 95;Word 96;Word 97;Word 98;Word 99
Topic 0;amor;amar;sentir;vida;alma;corazón;querer;vivir;hablar;encontrar;idea;mismo;triste;placer;espíritu;deseo;mundo;dejar;fin;solo;pasión;pensar;dolor;palabra;esperanza;embargo;recordar;esposo;recuerdo;silencio;tierra;felicidad;conocer;nuevo;momento;sentimiento;duda;paso;sentar;deber;necesitar;pensamiento;sueño;mirada;llamar;presencia;sufrir;desear;profundo;crear;tristeza;entregar;enamorar;razón;sombra;imposible;soñar;empezar;oír;único;despertar;viaje;continuar;olvidar;afecto;sacrificio;huir;cariño;cuerpo;extraño;voluntad;caricia;ternura;adorar;moral;tiempo;temer;ilusión;feliz;instante;desesperación;convertir;memoria;débil;agitar;humano;sonrisa;querido;doloroso;vano;sensación;amantar;separar;víctima;nacer;consuelo;pronunciar;imaginación;inmenso;belleza
Topic 1;juez;coronel;reo;causa;amantar;solterón;cárcel;mismo;oficial;defensor;juzgar;prisión;militar;general;servicio;hospital;matar;población;magistrado;declaración;preguntar;instancia;sentencia;mandar;sala;pregunta;replicar;circunstancia;momento;defender;presentar;nombrar;individuo;deber;muchacho;criminal;candoroso;víctima;madrina;casilda;crimen;tambor;ejercer;plática;curial;alcaide;buscar;ribera;tropa;alejar;portero;preso;compañero;héroe;fiscal;defensa;condenar;jamona;doloritas;ayudante;recibir;pariente;abogado;pícaro;justicia;carne;señó;peligro;compadre;portador;escolta;sentenciar;protector;capataz;profesar;conocimiento;capital;constituir;curioso;número;local;presenciar;asistente;agujero;señoría;ocurrir;presente;trato;yanqui;expediente;ordenar;escrito;estampilla;principiar;real;diligenciar;conducir;través;seguridad;desaliento
Topic 2;claro;tomar;pasar;salir;ventana;hotel;cuarto;venir;puerta;cama;preguntar;calle;noche;criado;crear;champagne;marido;gendarme;agregar;tocar;subir;exclamar;silencio;niño;número;merced;copa;papá;voz;cuenta;vecino;explicar;botella;cerrar;oír;tardar;salar;figurar;gordo;abrir;guardar;pregunta;zapato;curioso;tono;sonar;mentar;patrón;entregar;hecho;empeño;sombrero;suceder;transeúnte;pelo;lujo;tirar;parar;notar;pistola;mentir;revoltoso;través;guarda;andar;decidir;americano;jorobado;sano;ruido;interior;peso;felipa;tren;avisar;gritar;tiro;aire;salvo;policía;resultar;recibir;continuo;excitación;papel;pasadizo;convidar;bribón;adónde;fuereños;jalar;roncar;apuntar;candelaria;confeccionar;corsé;administrador;latón;figón;tarjeta
Topic 3;bueno;casa;amigo;baile;fiesta;casar;bailar;vivir;hermano;ciudad;tienda;novio;guapo;rico;mozo;jugar;contar;billar;beber;persona;par;vida;criatura;grato;simpático;chico;tratar;charlar;sala;mesa;elegancia;caballo;triste;sitio;faltar;campo;punto;placer;gustar;disponer;compañero;ranchar;gusto;invitar;duda;reja;soler;cortar;vals;caballero;vicio;tela;fama;charla;lucir;ajeno;tiempo;galán;juego;tendero;ligero;pieza;leche;elegante;platillo;coser;perdonar;gasto;arrastrar;tímido;máquina;novelar;vidriera;imaginar;cigarro;grave;costa;preciso;cantar;vuelta;maldiciente;trato;japonés;comentar;ordinario;ruidoso;fragante;boda;cansar;lector;elegir;próximo;despedir;capítulo;repetir;inquirir;duro;levita;diose;conversar
Topic 4;doctor;alma;libro;espíritu;cuerpo;amar;corpus;mundo;buscar;cerebro;medio;página;poseer;llamar;tornar;preciso;alto;dormir;responder;propio;imposible;regalo;hermoso;hemisferio;sueño;mismo;poeta;romper;infinito;ciencia;añadir;voluntad;gran;odiar;derecho;maravilloso;pobre;diálogo;afirmar;partir;suerte;unir;expresión;problema;femenino;ceja;espiritual;llave;mitad;ideal;caso;diario;encadenar;loco;divino;tenue;sabiduría;afecto;aceptar;filósofo;personaje;dios;erar;lector;sutil;fluido;tono;viajar;universo;recorrer;pertenecer;excepcional;médico;planeta;orden;vocablo;donación;tremendo;aguardar;empezar;encarnar;izquierdo;elefante;sagrado;adorar;ama;merced;verbo;ventura;seso;íntimo;par;futuro;lácrima;gato;organismo;final;excelencia;operar;éxtasis
Topic 5;pasar;grande;voz;cabeza;volver;tiempo;salir;puerta;mirar;caer;entrar;momento;lado;seguir;oír;brazo;pie;tomar;dirigir;hora;levantar;mismo;sentir;noche;fuerza;parte;dejar;poner;abrir;quedar;sentar;junto;nuevo;último;rostro;negro;cubrir;acercar;casa;correr;escuchar;encontrar;vista;lleno;mirada;esperar;llevar;luz;buscar;acabar;gran;medio;tocar;lanzar;ruido;lecho;formar;llamar;comenzar;paso;detener;contestar;bajar;aparecer;temblar;dormir;preguntar;oído;murmurar;movimiento;pequeño;solo;acompañar;cuerpo;agua;sacar;rodear;grito;aire;pecho;herir;presentar;labio;bajo;frente;inclinar;manera;forma;envolver;causar;tender;oscuro;traer;tanto;desaparecer;esfuerzo;mejilla;mesa;sangre;boca
Topic 6;calle;niño;amigo;venir;exclamar;gente;capital;persona;procesión;llamar;oír;mirar;preguntar;tierra;empezar;zócalo;coche;teatro;traer;extranjero;rico;vestido;pagar;hora;parte;francés;mamá;público;nombre;elegante;necesario;aprender;pueblo;mucho;jardín;nuestro;paseo;plaza;peso;mundo;copa;contar;platero;cigarro;pollo;mexicano;línea;manera;sombrero;servicio;centro;poner;circo;conque;dirigir;lugar;razón;andar;consistir;almuerzo;tanto;real;cenar;número;señalar;permanecer;balcón;carta;saludar;compañero;acercar;entrada;agregar;capa;entender;charro;ranchero;distancia;formar;cantina;despreciar;títere;pasear;apurar;componer;cognac;lagartijos;barbaridad;transeúnte;empresa;pertenecer;proporcionar;imposible;vanidad;empleado;presentar;comodidad;amistad;alquilar;compadre
Topic 7;secreto;inquisidor;tribunal;fe;preso;usía;palabra;tormento;caso;justicia;inquisición;reo;doncella;calabozo;judío;prometer;pedir;santo;verdugo;condenar;principio;revelar;caballero;venganza;fuego;relación;acusar;fin;sentencia;oficio;cumplir;juez;conducir;resolver;confesar;domingo;anciano;esclavo;pregunta;sufrir;obtener;auto;presidente;referir;infame;descubrir;perecer;suspender;hereje;principal;sumo;asunto;activo;llama;celebrar;ribeiro;compasión;familiar;religión;relajar;bastar;descender;prisionero;grave;alcoba;puñal;pronunciar;hebreo;ministro;inocencia;ocupar;dosel;querer;desgraciado;respectivo;diligenciar;convenir;sofocar;custodiar;convento;plazuela;nodriza;huérfano;modelo;asiento;ardor;reveler;campanilla;enseñar;declarar;ayuda;vara;malvar;adornar;retirar;pueblo;obligar;incógnito;culpar;juramento
Topic 8;padre;anciano;amigo;noche;corazón;muerte;volver;madre;campo;guerrero;juventud;alma;hermoso;exclamar;gloria;venir;héroe;virgen;unir;sepulcro;combate;monte;patria;pensamiento;netzula;ejército;valiente;esperar;ofrecer;batalla;entusiasmo;lleno;dolor;estrechar;sangre;unión;lágrima;jefe;palabra;volar;jardín;tumba;casa;brillar;cubrir;hazaña;imagen;octai;cazador;espada;extranjero;enemigo;callar;fijar;procurar;aproximar;mal;general;montaña;guerra;desconocer;fuerte;fuerza;soldado;viajero;valor;arma;doncella;océano;fuego;frente;carta;llenar;bosque;escoger;visitar;retirar;vestidura;moribundo;tímido;cabaña;suerte;acontecimiento;solitario;banda;consolar;defensor;gratitud;fama;ceñir;remedio;partir;vejez;paz;expresión;encarnar;resolución;oxfeler;roca;peligro
Topic 9;luz;cielo;sol;sombra;noche;venir;luna;rayo;naturaleza;hoja;tierra;blanco;fondo;horizonte;nube;árbol;azul;flor;oro;estrella;misterioso;contemplar;espacio;planta;cruzar;abismo;rojo;producir;lejano;infinito;copa;mostrar;brotar;color;ave;sangre;interior;inmenso;rumor;río;alegre;pensamiento;existencia;amigo;fuego;cabellera;fantástico;gigantesco;reflejo;eterno;ala;surgir;animar;suave;esconder;divino;llenar;aliento;mar;hundir;bello;cristal;montaña;través;agua;mancha;sacudir;aurora;vapor;bañar;brisa;pedir;lluvia;alegría;tarde;invisible;aire;percibir;atmósfera;ola;crepúsculo;flotar;nervioso;alfombra;tumba;encantar;supremo;mármol;espléndido;párpado;centro;orilla;superficie;señal;solitario;vencer;borde;sabio;soplo;manto
